year,sector,discipline,status,total
2018,institute,humanities,deposited,1
2018,institute,humanities,closed,28
2018,institute,health_sciences,diamond,45
2018,institute,health_sciences,gold,293
2018,institute,health_sciences,hybrid,169
2018,institute,health_sciences,green,273
2018,institute,health_sciences,deposited,1
2018,institute,health_sciences,closed,292
2018,institute,natural_sciences_engineering,diamond,60
2018,institute,natural_sciences_engineering,gold,574
2018,institute,natural_sciences_engineering,hybrid,269
2018,institute,natural_sciences_engineering,green,847
2018,institute,natural_sciences_engineering,closed,554
2018,institute,social_science,diamond,52
2018,institute,social_science,gold,69
2018,institute,social_science,hybrid,99
2018,institute,social_science,green,204
2018,institute,social_science,closed,149
2018,higher_education,all,diamond,1161
2018,higher_education,all,gold,3823
2018,higher_education,all,hybrid,1597
2018,higher_education,all,green,5972
2018,higher_education,all,deposited,10
2018,higher_education,all,closed,6005
2018,higher_education,humanities,diamond,328
2018,higher_education,humanities,gold,88
2018,higher_education,humanities,hybrid,32
2018,higher_education,humanities,green,309
2018,higher_education,humanities,deposited,5
2018,higher_education,humanities,closed,424
2018,higher_education,health_sciences,diamond,111
2018,higher_education,health_sciences,gold,1510
2018,higher_education,health_sciences,hybrid,637
2018,higher_education,health_sciences,green,1396
2018,higher_education,health_sciences,deposited,2
2018,higher_education,health_sciences,closed,2013
2018,higher_education,natural_sciences_engineering,diamond,283
2018,higher_education,natural_sciences_engineering,gold,1865
2018,higher_education,natural_sciences_engineering,hybrid,723
2018,higher_education,natural_sciences_engineering,green,2916
2018,higher_education,natural_sciences_engineering,deposited,2
2018,higher_education,natural_sciences_engineering,closed,2110
2018,higher_education,social_science,diamond,439
2018,higher_education,social_science,gold,343
2018,higher_education,social_science,hybrid,185
2018,higher_education,social_science,green,1035
2018,higher_education,social_science,deposited,1
2018,higher_education,social_science,closed,1073
2019,archives_libraries_museums,all,diamond,5
2019,archives_libraries_museums,all,gold,2
2019,archives_libraries_museums,all,green,6
2019,archives_libraries_museums,all,closed,8
2019,archives_libraries_museums,humanities,diamond,5
2019,archives_libraries_museums,humanities,gold,2
2019,archives_libraries_museums,humanities,green,2
2019,archives_libraries_museums,humanities,closed,2
2019,archives_libraries_museums,natural_sciences_engineering,green,2
2019,archives_libraries_museums,social_science,green,1
2019,all,all,diamond,1314
2019,all,all,gold,5543
2019,all,all,hybrid,2007
2019,all,all,hybrid_agreement,1235
2019,all,all,green,6810
2019,all,all,deposited,7
2019,all,all,closed,5793
2019,all,humanities,diamond,371
2019,all,humanities,gold,139
2019,all,humanities,hybrid,49
2019,all,humanities,hybrid_agreement,25
2019,all,humanities,green,394
2019,all,humanities,deposited,1
2019,all,humanities,closed,386
2019,all,health_sciences,diamond,175
2019,all,health_sciences,gold,2108
2019,all,health_sciences,hybrid,772
2019,all,health_sciences,hybrid_agreement,370
2019,all,health_sciences,green,1755
2019,all,health_sciences,deposited,4
2019,all,health_sciences,closed,1795
2019,all,natural_sciences_engineering,diamond,311
2019,all,natural_sciences_engineering,gold,2800
2019,all,natural_sciences_engineering,hybrid,897
2019,all,natural_sciences_engineering,hybrid_agreement,649
2019,all,natural_sciences_engineering,green,3083
2019,all,natural_sciences_engineering,deposited,1
2019,all,natural_sciences_engineering,closed,2191
2019,all,social_science,diamond,457
2019,all,social_science,gold,433
2019,all,social_science,hybrid,259
2019,all,social_science,hybrid_agreement,189
2019,all,social_science,green,1215
2019,all,social_science,deposited,1
2019,all,social_science,closed,1035
2019,health,all,diamond,116
2019,health,all,gold,1424
2019,health,all,hybrid,453
2019,health,all,hybrid_agreement,209
2019,health,all,green,1072
2019,health,all,deposited,3
2019,health,all,closed,1138
2019,health,humanities,diamond,3
2019,health,humanities,gold,3
2019,health,humanities,green,1
2019,health,humanities,closed,5
2019,health,health_sciences,diamond,100
2019,health,health_sciences,gold,1055
2019,health,health_sciences,hybrid,416
2019,health,health_sciences,hybrid_agreement,188
2019,health,health_sciences,green,977
2019,health,health_sciences,deposited,3
2019,health,health_sciences,closed,1014
2019,health,natural_sciences_engineering,diamond,6
2019,health,natural_sciences_engineering,gold,327
2019,health,natural_sciences_engineering,hybrid,28
2019,health,natural_sciences_engineering,hybrid_agreement,13
2019,health,natural_sciences_engineering,green,67
2019,health,natural_sciences_engineering,closed,76
2019,health,social_science,diamond,7
2019,health,social_science,gold,37
2019,health,social_science,hybrid,8
2019,health,social_science,hybrid_agreement,8
2019,health,social_science,green,25
2019,health,social_science,closed,34
2019,institute,all,diamond,176
2019,institute,all,gold,1265
2019,institute,all,hybrid,496
2019,institute,all,hybrid_agreement,342
2019,institute,all,green,1310
2019,institute,all,deposited,1
2019,institute,all,closed,947
2019,institute,humanities,diamond,16
2019,institute,humanities,gold,6
2019,institute,humanities,hybrid,7
2019,institute,humanities,hybrid_agreement,3
2019,institute,humanities,green,8
2019,institute,humanities,closed,16
2019,institute,health_sciences,diamond,36
2019,institute,health_sciences,gold,350
2019,institute,health_sciences,hybrid,140
2019,institute,health_sciences,hybrid_agreement,65
2019,institute,health_sciences,green,296
2019,institute,health_sciences,deposited,1
2019,institute,health_sciences,closed,206
2019,institute,natural_sciences_engineering,diamond,56
2019,institute,natural_sciences_engineering,gold,822
2019,institute,natural_sciences_engineering,hybrid,259
2019,institute,natural_sciences_engineering,hybrid_agreement,249
2019,institute,natural_sciences_engineering,green,737
2019,institute,natural_sciences_engineering,closed,500
2019,institute,social_science,diamond,68
2019,institute,social_science,gold,84
2019,institute,social_science,hybrid,86
2019,institute,social_science,hybrid_agreement,25
2019,institute,social_science,green,170
2019,institute,social_science,closed,170
2019,other,all,diamond,7
2019,other,all,gold,3
2019,other,all,hybrid,3
2019,other,all,hybrid_agreement,5
2019,other,all,green,21
2019,other,all,closed,14
2019,other,humanities,green,1
2019,other,health_sciences,gold,1
2019,other,health_sciences,green,2
2019,other,health_sciences,closed,1
2019,other,natural_sciences_engineering,gold,1
2019,other,natural_sciences_engineering,green,3
2019,other,social_science,diamond,7
2019,other,social_science,gold,1
2019,other,social_science,hybrid,3
2019,other,social_science,hybrid_agreement,5
2019,other,social_science,green,15
2019,other,social_science,closed,13
2019,higher_education,all,diamond,1176
2019,higher_education,all,gold,4775
2019,higher_education,all,hybrid,1634
2019,higher_education,all,hybrid_agreement,1120
2019,higher_education,all,green,6157
2019,higher_education,all,deposited,7
2019,higher_education,all,closed,4783
2019,higher_education,humanities,diamond,354
2019,higher_education,humanities,gold,135
2019,higher_education,humanities,hybrid,46
2019,higher_education,humanities,hybrid_agreement,24
